CustomerID,CustomerName,Product,CreditTier,FICO,LoanBalance,CurrentRate,LoanTermMonths,MonthsRemaining,OriginationDate,LastPaymentDate,MissedPayments,State,RelationshipMgr
CUST-00053,Ivan Nelson,Business Banking,High Risk Business,625,1480900.84,13.04,120,40,2023-01-18,2026-05-14,0,OR,Sarah Mitchell
CUST-00054,Chen Ali,Direct Auto,Tier 2 - Good,715,56102.79,5.58,36,20,2024-10-01,2026-05-07,0,CA,James Okafor
CUST-00055,Karen Smith,Direct Auto,Tier 4 - Poor,643,34253.0,11.05,60,54,2021-12-15,2026-05-03,0,IN,Marcus Webb
CUST-00056,Maria Garcia,Indirect Auto,Tier 3 - Near Prime,673,48204.48,8.47,72,33,2023-08-25,2026-05-09,0,MI,Marcus Webb
CUST-00057,Raj Lopez,Business Banking,Prime Business,757,524445.07,9.72,120,80,2019-10-18,2026-05-15,0,SC,James Okafor
CUST-00058,Susan Thomas,Direct Auto,Tier 2 - Good,706,20084.22,6.0,36,15,2025-02-12,2026-05-14,2,OH,James Okafor
CUST-00059,William Kim,Direct Auto,Tier 1 - Excellent,818,40807.44,5.27,36,15,2025-02-24,2026-05-26,0,TX,Linda Cho
CUST-00060,Fatima Ali,Direct Auto,Tier 4 - Poor,614,43272.18,10.59,72,16,2025-01-18,2026-05-22,0,PA,Linda Cho
CUST-00061,Jennifer Wilson,Direct Auto,Tier 1 - Excellent,794,11845.23,5.12,36,28,2024-01-24,2026-05-11,0,KY,Sarah Mitchell
CUST-00062,Luca Green,Direct Auto,Tier 4 - Poor,593,64635.09,10.79,36,29,2023-12-18,2026-05-12,0,MA,James Okafor
CUST-00063,Patricia Anderson,Direct Auto,Tier 1 - Excellent,769,23322.81,4.78,36,9,2025-08-28,2026-05-11,0,GA,Marcus Webb
CUST-00064,Ivan Jones,Indirect Auto,Tier 4 - Sub Prime,630,5160.54,11.27,72,63,2021-03-21,2026-05-22,0,MN,Marcus Webb
CUST-00065,Linda Anderson,Direct Auto,Tier 3 - Fair,651,30508.34,8.63,48,44,2022-10-11,2026-05-05,0,KY,Anita Patel
CUST-00066,Fatima Garcia,Direct Auto,Tier 1 - Excellent,774,12461.22,5.19,60,47,2022-07-13,2026-05-15,0,WI,Linda Cho
CUST-00067,Maria Kim,Business Banking,Prime Business,768,678527.09,9.93,84,9,2025-08-04,2026-05-10,0,MD,Linda Cho
CUST-00068,Omar Garcia,Indirect Auto,Tier 1 - Super Prime,790,36137.83,5.85,72,38,2023-03-30,2026-05-18,0,TN,Anita Patel
CUST-00069,Wei Williams,Business Banking,Standard Business,665,676063.6,11.0,60,16,2025-01-14,2026-05-16,0,MA,Linda Cho
CUST-00070,Ivan Baker,Direct Auto,Tier 3 - Fair,679,24396.43,8.12,72,68,2020-10-29,2026-05-10,1,TX,Marcus Webb
CUST-00071,Omar Davis,Direct Auto,Tier 1 - Excellent,805,42524.52,5.29,36,16,2025-02-01,2026-05-02,0,CA,Sarah Mitchell
CUST-00072,Barbara Wilson,Indirect Auto,Tier 4 - Sub Prime,631,23645.01,11.42,36,29,2023-12-17,2026-05-02,0,TN,Anita Patel
CUST-00073,Sofia Martinez,Direct Auto,Tier 1 - Excellent,762,55083.44,5.15,72,34,2023-08-11,2026-05-19,0,OK,Linda Cho
CUST-00074,Omar Wilson,Direct Auto,Tier 1 - Excellent,762,25392.51,5.49,60,55,2021-10-31,2026-05-22,0,MA,Sarah Mitchell
CUST-00075,Sarah Green,Business Banking,Standard Business,668,698257.91,10.91,120,54,2021-12-13,2026-05-04,0,GA,James Okafor
CUST-00076,Jennifer Roberts,Indirect Auto,Tier 2 - Prime,712,49682.31,6.0,72,52,2022-01-27,2026-05-05,0,TX,Marcus Webb
CUST-00077,Ana Wilson,Direct Auto,Tier 4 - Poor,601,57451.42,10.85,72,15,2025-02-21,2026-05-31,0,FL,James Okafor
CUST-00078,Chen Sharma,Direct Auto,Tier 2 - Good,723,42395.56,5.6,72,13,2025-04-09,2026-05-10,1,CO,James Okafor
CUST-00079,Michael Carter,Indirect Auto,Tier 5 - Deep Sub,585,19086.21,14.43,60,17,2024-12-24,2026-05-28,0,PA,Anita Patel
CUST-00080,Ana Taylor,Indirect Auto,Tier 5 - Deep Sub,573,24462.48,14.72,36,21,2024-08-26,2026-05-27,0,PA,Marcus Webb
CUST-00081,Charles Mitchell,Indirect Auto,Tier 2 - Prime,745,42182.62,6.06,48,34,2023-08-11,2026-05-24,0,NC,Linda Cho
CUST-00082,Carlos Nguyen,Business Banking,Standard Business,653,1371341.23,10.92,60,10,2025-07-24,2026-05-13,0,MA,Anita Patel
CUST-00083,Christopher Johnson,Indirect Auto,Tier 2 - Prime,746,56200.13,6.45,36,18,2024-11-26,2026-05-13,0,OR,James Okafor
CUST-00084,Thomas Lopez,Direct Auto,Tier 4 - Poor,554,38955.74,10.62,36,34,2023-07-18,2026-05-22,0,GA,Marcus Webb
CUST-00085,William Garcia,Direct Auto,Tier 4 - Poor,620,42694.89,10.65,36,22,2024-08-08,2026-05-13,0,IA,Anita Patel
CUST-00086,Karen Anderson,Direct Auto,Tier 1 - Excellent,762,15538.4,4.83,48,37,2023-05-06,2026-05-15,0,NC,James Okafor
CUST-00087,Wei Scott,Direct Auto,Tier 2 - Good,723,53253.95,6.13,72,12,2025-05-06,2026-05-24,1,FL,James Okafor
CUST-00088,Mohammed Miller,Indirect Auto,Tier 3 - Near Prime,685,37194.34,8.49,72,50,2022-04-01,2026-05-23,0,MN,Marcus Webb
CUST-00089,Ivan Singh,Business Banking,High Risk Business,586,1258116.39,12.81,120,47,2022-07-14,2026-05-11,0,CO,James Okafor
CUST-00090,William Green,Indirect Auto,Tier 4 - Sub Prime,621,7720.81,10.74,36,22,2024-08-06,2026-05-28,0,MA,Anita Patel
CUST-00091,Karen Williams,Business Banking,Prime Business,730,1497424.58,9.51,60,32,2023-09-18,2026-05-16,0,SC,Anita Patel
CUST-00092,Aisha Brown,Indirect Auto,Tier 1 - Super Prime,777,31681.75,5.92,48,26,2024-03-21,2026-05-20,0,WA,Anita Patel
CUST-00093,Maria Brown,Indirect Auto,Tier 4 - Sub Prime,612,61940.65,10.99,72,14,2025-03-17,2026-05-11,0,KY,Anita Patel
CUST-00094,Thomas Ali,Indirect Auto,Tier 4 - Sub Prime,614,52218.69,10.87,48,7,2025-10-16,2026-05-25,0,LA,Marcus Webb
CUST-00095,Maria Martinez,Indirect Auto,Tier 3 - Near Prime,691,56504.37,8.58,48,11,2025-06-10,2026-05-26,0,CA,Anita Patel
CUST-00096,Robert Perez,Indirect Auto,Tier 2 - Prime,715,5946.87,6.64,60,6,2025-11-19,2026-05-15,0,MA,Anita Patel
CUST-00097,Yuki Adams,Indirect Auto,Tier 1 - Super Prime,781,35230.32,5.65,36,22,2024-07-10,2026-05-31,0,AZ,Linda Cho
CUST-00098,Priya Green,Business Banking,Prime Business,762,1823916.62,9.76,60,11,2025-07-01,2026-05-29,0,WI,Sarah Mitchell
CUST-00099,Jessica Nelson,Direct Auto,Tier 1 - Excellent,782,35333.06,4.9,72,15,2025-03-04,2026-05-04,0,MA,Marcus Webb
CUST-00100,Charles Scott,Business Banking,Standard Business,666,1663467.49,10.7,84,59,2021-07-16,2026-05-18,0,IL,James Okafor
CUST-00101,Linda Ali,Indirect Auto,Tier 5 - Deep Sub,596,54906.31,14.92,36,30,2023-11-20,2026-05-20,0,MN,Linda Cho
CUST-00102,Sofia Hernandez,Business Banking,Standard Business,670,1753534.38,10.52,84,12,2025-05-17,2026-05-22,0,IL,James Okafor
CUST-00103,Maria Kim,Indirect Auto,Tier 4 - Sub Prime,605,26006.84,10.92,60,10,2025-07-17,2026-05-24,0,CA,Marcus Webb
CUST-00104,Robert Wilson,Direct Auto,Tier 2 - Good,708,60292.25,6.1,60,3,2026-02-26,2026-05-13,0,AL,Linda Cho
CUST-00105,Patricia Brown,Indirect Auto,Tier 3 - Near Prime,660,27571.66,8.87,72,46,2022-08-11,2026-05-08,0,IL,Marcus Webb
CUST-00106,Sofia Davis,Indirect Auto,Tier 5 - Deep Sub,591,21326.17,14.53,72,65,2021-01-14,2026-05-23,0,VA,James Okafor
CUST-00107,Linda Smith,Indirect Auto,Tier 3 - Near Prime,695,45693.07,8.49,72,70,2020-08-29,2026-05-24,0,OH,Anita Patel
CUST-00108,William Green,Indirect Auto,Tier 4 - Sub Prime,620,50849.65,11.4,60,23,2024-06-25,2026-05-08,0,MO,Marcus Webb
CUST-00109,Carlos Adams,Direct Auto,Tier 4 - Poor,586,28824.27,11.23,36,30,2023-11-14,2026-05-29,1,SC,James Okafor
CUST-00110,Mohammed Garcia,Direct Auto,Tier 4 - Poor,608,29301.94,10.64,60,13,2025-04-17,2026-05-17,0,AZ,Linda Cho
CUST-00111,Richard Jones,Indirect Auto,Tier 1 - Super Prime,773,40332.28,5.34,36,28,2024-01-19,2026-05-21,0,IN,Linda Cho
CUST-00112,Jennifer Jones,Indirect Auto,Tier 2 - Prime,728,26065.98,6.66,48,18,2024-11-29,2026-05-25,0,PA,James Okafor
CUST-00113,Priya Sharma,Business Banking,Prime Business,773,1149284.19,9.49,120,63,2021-02-28,2026-05-13,0,IL,James Okafor
CUST-00114,Lisa Mitchell,Indirect Auto,Tier 1 - Super Prime,790,31532.48,5.78,60,53,2022-01-21,2026-05-20,0,MA,Linda Cho
CUST-00115,David Carter,Indirect Auto,Tier 2 - Prime,738,54901.8,6.28,36,8,2025-09-17,2026-05-19,0,IA,Sarah Mitchell
CUST-00116,Patricia Taylor,Indirect Auto,Tier 2 - Prime,714,41300.35,6.4,48,6,2025-11-07,2026-05-03,0,TX,Marcus Webb
CUST-00117,Raj Brown,Business Banking,Standard Business,692,1071933.68,10.98,120,26,2024-03-13,2026-05-22,0,KY,Anita Patel
CUST-00118,Jennifer Ali,Indirect Auto,Tier 2 - Prime,718,10670.36,6.55,72,39,2023-02-19,2026-05-10,2,FL,Sarah Mitchell
CUST-00119,Chen Ali,Indirect Auto,Tier 2 - Prime,729,23613.9,6.29,72,19,2024-10-08,2026-05-29,0,OR,Marcus Webb
CUST-00120,Omar Thomas,Indirect Auto,Tier 1 - Super Prime,766,35509.31,5.76,36,26,2024-03-12,2026-05-25,0,GA,Marcus Webb
CUST-00121,David Ali,Indirect Auto,Tier 5 - Deep Sub,589,22747.53,14.41,36,35,2023-06-20,2026-05-08,1,CT,Sarah Mitchell
CUST-00122,Fatima Williams,Indirect Auto,Tier 2 - Prime,742,14255.17,6.16,48,47,2022-06-26,2026-05-03,0,AZ,Anita Patel
CUST-00123,Yuki Thomas,Indirect Auto,Tier 1 - Super Prime,777,41635.73,5.59,72,32,2023-10-05,2026-05-01,0,VA,Sarah Mitchell
CUST-00124,William Nguyen,Business Banking,Standard Business,698,1550405.18,10.85,84,70,2020-07-31,2026-05-26,0,TX,James Okafor
CUST-00125,Sofia Wilson,Direct Auto,Tier 4 - Poor,602,47684.06,11.18,36,21,2024-09-03,2026-05-23,0,OR,James Okafor
CUST-00126,Chen Garcia,Indirect Auto,Tier 3 - Near Prime,663,54002.2,8.68,60,4,2026-01-19,2026-05-15,0,VA,Marcus Webb
CUST-00127,Yuki Martinez,Indirect Auto,Tier 2 - Prime,713,60849.55,6.63,60,53,2022-01-21,2026-05-22,1,LA,James Okafor
CUST-00128,Luca Nelson,Business Banking,Prime Business,737,60239.84,9.81,60,7,2025-10-07,2026-05-27,0,NY,Anita Patel
CUST-00129,Omar Johnson,Indirect Auto,Tier 2 - Prime,704,12310.9,6.26,48,29,2023-12-24,2026-05-17,0,CO,Sarah Mitchell
CUST-00130,Patricia Scott,Indirect Auto,Tier 4 - Sub Prime,623,22476.32,11.31,36,25,2024-04-28,2026-05-26,0,FL,Sarah Mitchell
CUST-00131,Robert Lopez,Indirect Auto,Tier 2 - Prime,749,57399.89,6.0,36,27,2024-03-04,2026-05-08,0,GA,Linda Cho
CUST-00132,Yuki Taylor,Direct Auto,Tier 4 - Poor,618,7660.14,10.76,60,55,2021-10-28,2026-05-07,0,KY,Marcus Webb
CUST-00133,Lisa Adams,Indirect Auto,Tier 1 - Super Prime,784,7219.03,5.4,48,5,2025-12-04,2026-05-30,0,OR,Sarah Mitchell
CUST-00134,Raj Kim,Business Banking,High Risk Business,644,121410.5,13.29,120,30,2023-11-16,2026-05-07,0,NY,Anita Patel
CUST-00135,Luca Kim,Business Banking,Standard Business,682,1499450.03,10.52,84,49,2022-05-07,2026-05-09,0,KY,Linda Cho
CUST-00136,Christopher Singh,Business Banking,High Risk Business,600,889683.95,13.28,60,40,2023-02-13,2026-05-29,0,MA,Sarah Mitchell
CUST-00137,Carlos Kim,Business Banking,High Risk Business,622,1395041.38,13.47,84,63,2021-03-01,2026-05-02,0,CO,Linda Cho
CUST-00138,David Martinez,Indirect Auto,Tier 1 - Super Prime,757,26798.67,5.88,48,4,2026-01-12,2026-05-10,0,FL,Marcus Webb
CUST-00139,Robert Martinez,Direct Auto,Tier 2 - Good,735,27971.26,5.73,36,12,2025-05-06,2026-05-20,0,IN,Anita Patel
CUST-00140,Barbara Nguyen,Business Banking,Standard Business,660,1316643.44,11.23,60,13,2025-05-01,2026-05-16,0,LA,Anita Patel
CUST-00141,Susan Carter,Business Banking,High Risk Business,634,1992911.97,13.35,84,68,2020-10-25,2026-05-04,0,FL,Anita Patel
CUST-00142,Susan Scott,Direct Auto,Tier 4 - Poor,583,37999.83,10.6,60,22,2024-07-18,2026-05-09,1,IN,Marcus Webb
CUST-00143,William Garcia,Indirect Auto,Tier 3 - Near Prime,652,52523.94,8.97,48,34,2023-07-29,2026-05-13,0,FL,Anita Patel
CUST-00144,Priya Jones,Business Banking,Prime Business,763,1451795.84,9.42,120,58,2021-07-30,2026-05-13,0,MA,James Okafor
CUST-00145,Barbara Wilson,Direct Auto,Tier 4 - Poor,615,57677.61,10.92,48,11,2025-06-06,2026-05-04,0,MI,Marcus Webb
CUST-00146,Patricia Nguyen,Indirect Auto,Tier 2 - Prime,715,61084.27,6.03,48,25,2024-04-25,2026-05-03,0,OH,Sarah Mitchell
CUST-00147,Richard Ali,Direct Auto,Tier 4 - Poor,614,42501.34,10.76,36,35,2023-06-28,2026-05-01,0,OR,Sarah Mitchell
CUST-00148,Maria Roberts,Indirect Auto,Tier 5 - Deep Sub,564,9873.37,14.83,60,44,2022-10-01,2026-05-18,0,CT,Sarah Mitchell
CUST-00149,Ana Perez,Direct Auto,Tier 2 - Good,704,33976.69,5.9,72,41,2022-12-26,2026-05-30,0,MA,Marcus Webb
CUST-00150,Mohammed Miller,Direct Auto,Tier 4 - Poor,623,23754.95,10.5,60,49,2022-05-11,2026-05-19,0,NJ,Marcus Webb
CUST-00151,Ana Patel,Business Banking,High Risk Business,611,571569.77,13.43,60,15,2025-02-26,2026-05-01,0,OK,Marcus Webb
CUST-00152,Omar Johnson,Direct Auto,Tier 2 - Good,710,16390.05,5.49,48,34,2023-08-01,2026-05-16,1,FL,James Okafor
CUST-00153,Yuki Chen,Business Banking,High Risk Business,641,469531.62,13.46,84,12,2025-05-21,2026-05-12,1,MO,Linda Cho
CUST-00154,Linda Thomas,Indirect Auto,Tier 1 - Super Prime,770,13036.1,5.72,60,49,2022-05-10,2026-05-20,0,VA,Sarah Mitchell
CUST-00155,William Miller,Direct Auto,Tier 4 - Poor,587,28180.93,10.62,72,38,2023-03-29,2026-05-10,0,WA,Anita Patel
CUST-00156,William Ali,Direct Auto,Tier 2 - Good,737,50297.91,5.86,48,41,2023-01-01,2026-05-30,0,KY,James Okafor
CUST-00157,Lisa Ali,Business Banking,High Risk Business,618,1232208.02,13.25,120,23,2024-06-21,2026-05-21,0,IN,Sarah Mitchell
CUST-00158,Lisa Johnson,Business Banking,Prime Business,761,1147702.31,9.72,84,8,2025-09-12,2026-05-28,2,WI,James Okafor
CUST-00159,Chen Wilson,Direct Auto,Tier 3 - Fair,666,48284.01,8.35,72,24,2024-05-18,2026-05-12,0,OR,Marcus Webb
CUST-00160,Sofia Perez,Indirect Auto,Tier 4 - Sub Prime,606,16447.06,11.18,72,43,2022-11-05,2026-05-09,0,OK,Linda Cho
CUST-00161,Ivan Ali,Indirect Auto,Tier 1 - Super Prime,815,17440.5,5.63,60,45,2022-09-07,2026-05-21,2,MO,Anita Patel
CUST-00162,Lisa Chen,Direct Auto,Tier 1 - Excellent,797,16535.85,5.07,48,20,2024-10-01,2026-05-01,2,SC,Marcus Webb
CUST-00163,Chen Adams,Business Banking,Standard Business,661,985616.68,10.71,120,107,2017-08-07,2026-05-28,0,OR,Anita Patel
CUST-00164,Jessica Thomas,Indirect Auto,Tier 3 - Near Prime,698,7523.99,8.3,36,25,2024-04-21,2026-05-23,0,OR,Sarah Mitchell
CUST-00165,Thomas Brown,Direct Auto,Tier 3 - Fair,689,13236.38,8.7,48,18,2024-11-09,2026-05-15,0,NY,James Okafor
CUST-00166,Yuki Perez,Direct Auto,Tier 1 - Excellent,791,11032.69,4.77,48,3,2026-02-01,2026-05-26,0,CO,Marcus Webb
CUST-00167,David Taylor,Direct Auto,Tier 2 - Good,714,22124.92,5.75,36,8,2025-09-26,2026-05-14,0,AZ,Marcus Webb
CUST-00168,Michael Ali,Indirect Auto,Tier 1 - Super Prime,753,52277.64,5.33,48,21,2024-09-08,2026-05-22,0,MI,James Okafor
CUST-00169,Ivan Nguyen,Business Banking,High Risk Business,614,1709566.49,13.36,84,40,2023-02-13,2026-05-21,0,SC,Marcus Webb
CUST-00170,Carlos Sharma,Indirect Auto,Tier 2 - Prime,722,52446.06,6.28,48,14,2025-03-17,2026-05-03,0,FL,James Okafor
CUST-00171,Fatima Kim,Indirect Auto,Tier 4 - Sub Prime,644,63901.11,10.79,72,44,2022-10-19,2026-05-23,0,NJ,Anita Patel
CUST-00172,Sofia Singh,Indirect Auto,Tier 3 - Near Prime,683,44221.0,8.49,48,6,2025-11-18,2026-05-22,0,SC,Linda Cho
CUST-00173,Mohammed Baker,Direct Auto,Tier 2 - Good,738,41877.53,5.88,48,11,2025-06-21,2026-05-08,2,SC,Sarah Mitchell
CUST-00174,Patricia Carter,Business Banking,Prime Business,773,1098159.49,9.84,120,111,2017-04-11,2026-05-10,0,IN,Anita Patel
CUST-00175,Fatima Davis,Indirect Auto,Tier 4 - Sub Prime,607,8705.48,11.09,48,39,2023-03-13,2026-05-21,1,MN,Marcus Webb
CUST-00176,Linda Mitchell,Business Banking,High Risk Business,603,1802834.24,13.16,84,13,2025-04-20,2026-05-18,0,MN,Anita Patel
CUST-00177,Robert Brown,Indirect Auto,Tier 1 - Super Prime,752,20267.43,5.56,36,16,2025-02-04,2026-05-18,0,IA,Linda Cho
CUST-00178,Ana Scott,Business Banking,High Risk Business,588,609826.88,13.4,60,55,2021-11-03,2026-05-08,0,CT,James Okafor
CUST-00179,Barbara Taylor,Business Banking,Standard Business,676,782508.79,10.59,120,90,2019-01-04,2026-05-11,1,MO,James Okafor
CUST-00180,Chen Moore,Indirect Auto,Tier 3 - Near Prime,664,55089.3,8.64,36,22,2024-07-17,2026-05-14,0,GA,James Okafor
CUST-00181,Maria Patel,Direct Auto,Tier 4 - Poor,629,21538.98,10.63,36,5,2025-12-19,2026-05-12,0,OH,Linda Cho
CUST-00182,Jessica Brown,Indirect Auto,Tier 5 - Deep Sub,567,31786.46,14.43,36,18,2024-11-25,2026-05-17,0,IL,Sarah Mitchell
CUST-00183,Lisa Wilson,Direct Auto,Tier 3 - Fair,669,53947.18,8.29,60,39,2023-02-25,2026-05-05,0,MN,Sarah Mitchell
CUST-00184,Aisha Green,Indirect Auto,Tier 1 - Super Prime,761,23030.06,5.52,36,14,2025-03-24,2026-05-14,0,KY,Sarah Mitchell
CUST-00185,Thomas Singh,Direct Auto,Tier 1 - Excellent,763,29495.55,5.35,60,27,2024-02-24,2026-05-16,0,OK,Marcus Webb
